seed,protocol,model,n,attack_f1,attack_precision,attack_recall,balanced_accuracy,mcc,roc_auc,average_precision,benign_false_alarm_rate,attack_miss_rate,brier,tn,fp,fn,tp,attempts,accepted,rejected,eci_mean,audit_completeness,gate_pass_rate,mean_alarm_delay_records,missed_regime_transitions,attempts_per_1000,elapsed_ms
11,shifted,static,7972,0.5734903152297759,0.9873583260680034,0.4041034790365745,0.6959258417574086,0.3954706461917057,0.8315781936205038,0.9279837046318775,0.0122517955217575,0.5958965209634255,0.37043459845535565,2338,29,3340,2265,0,0,0,,,,,0,0.0,41.14519999999993
11,shifted,ungoverned,7972,0.9224241306152569,0.9549274255156608,0.8920606601248885,0.8961781965601207,0.7625171892728608,0.952375417717674,0.9764779204377336,0.09970426700464723,0.1079393398751115,0.0829237828880844,2131,236,605,5000,10,10,0,,,,201.66666666666666,0,1.2543903662819869,273.92790000000014
11,shifted,monitor_only,7972,0.9224241306152569,0.9549274255156608,0.8920606601248885,0.8961781965601207,0.7625171892728608,0.952375417717674,0.9764779204377336,0.09970426700464723,0.1079393398751115,0.0829237828880844,2131,236,605,5000,10,10,0,0.9772727272727273,1.0,0.5,201.66666666666666,0,1.2543903662819869,354.32399999999984
11,shifted,governed,7972,0.6687116564417178,0.9871125043538836,0.5056199821587868,0.7449941904879274,0.4663676968467524,0.9131083169675815,0.959439657810934,0.01563160118293198,0.4943800178412132,0.2805998568630752,2330,37,2771,2834,15,4,11,0.9242424242424242,1.0,0.26666666666666666,31.0,0,1.8815855494229805,377.14070000000015
11,shifted,no_replay,7972,0.5826316450923715,0.9855442176870748,0.4135593220338983,0.6995975739869533,0.399931281678826,0.8868570106282224,0.9497097786920193,0.01436417405999155,0.5864406779661017,0.34603186963151433,2333,34,3287,2318,19,5,14,0.9501594896331739,1.0,0.2631578947368421,95.0,0,2.3833416959357754,391.8795
11,shifted,no_attribution,7972,0.6144963144963145,0.9865877712031558,0.4462087421944692,0.7159222840672388,0.423687596706825,0.8824458516918061,0.9491261421095086,0.01436417405999155,0.5537912578055307,0.31744595128458586,2333,34,3104,2501,12,1,11,0.9267676767676766,1.0,0.08333333333333333,23.0,1,1.5052684395383844,159.9124999999999
11,shifted,Logistic regression,7972,0.5418490857584342,0.973623322535863,0.3753791257805531,0.6756490052223425,0.361085298395604,0.5833457890176668,0.8243269152357815,0.024081115335868188,0.6246208742194469,0.4058500985257858,2310,57,3501,2104,0,0,0,,,,,0,0.0,
11,shifted,Random forest,7972,0.47785453067858596,0.9921259842519685,0.3147190008920607,0.6544021704925027,0.33893690186094305,0.9288180441221418,0.9642662507843327,0.005914659907055344,0.6852809991079394,0.39920055621751616,2353,14,3841,1764,0,0,0,,,,,0,0.0,
23,shifted,static,7972,0.47807905031701065,0.9800884955752213,0.3161462979482605,0.6504685862364876,0.3283463897502919,0.8421966174054716,0.92774771730164,0.015209125475285171,0.6838537020517396,0.4145826864400953,2331,36,3833,1772,0,0,0,,,,,0,0.0,31.253999999999905
23,shifted,ungoverned,7972,0.9229912785303396,0.9615310264836652,0.8874219446922391,0.9016746394352619,0.7689863965726199,0.9545082981992585,0.9767842316683026,0.08407266582171526,0.11257805530776092,0.08184521681395866,2168,199,631,4974,12,12,0,,,,265.6666666666667,0,1.5052684395383844,273.63419999999996
23,shifted,monitor_only,7972,0.9229912785303396,0.9615310264836652,0.8874219446922391,0.9016746394352619,0.7689863965726199,0.9545082981992585,0.9767842316683026,0.08407266582171526,0.11257805530776092,0.08184521681395866,2168,199,631,4974,12,12,0,0.8740530303030302,1.0,0.8333333333333334,265.6666666666667,0,1.5052684395383844,338.7595000000001
23,shifted,governed,7972,0.5016571655839851,0.9762641898864809,0.3375557537912578,0.6590609356197523,0.33884487903119037,0.8541750285576242,0.9281357168909332,0.019433882551753275,0.6624442462087422,0.3939691797413017,2321,46,3713,1892,23,6,17,0.6703369094673444,1.0,0.2608695652173913,63.0,0,2.88509784244857,457.7525999999998
23,shifted,no_replay,7972,0.41327894218596145,0.9767287234042553,0.26208742194469226,0.623650386088527,0.28880418758444615,0.8641470381287153,0.932427146835181,0.014786649767638362,0.7379125780553077,0.44246495787363616,2332,35,4136,1469,22,7,15,0.6856798504525778,1.0,0.3181818181818182,84.33333333333333,0,2.7596588058203713,416.91600000000017
23,shifted,no_attribution,7972,0.5994543650793651,0.9829198861325742,0.4312221231043711,0.7067390716916025,0.4090404281849818,0.8500860214810619,0.9329795327526164,0.017743979721166033,0.5687778768956289,0.3322187765747784,2325,42,3188,2417,16,1,15,0.7132034632034632,1.0,0.0625,23.0,1,2.007024586051179,203.09310000000005
23,shifted,Logistic regression,7972,0.4918774966711052,0.9695538057742782,0.3295272078501338,0.6525118084033095,0.32680291099549125,0.5853376432639245,0.8199419935730339,0.024503591043515,0.6704727921498662,0.4187040068632494,2309,58,3758,1847,0,0,0,,,,,0,0.0,
23,shifted,Random forest,7972,0.46597430992074335,0.9953298307063632,0.30419268510258696,0.6504064397207062,0.3346202404938812,0.9248885677922761,0.9629727480030612,0.0033798056611744824,0.695807314897413,0.40161580225030474,2359,8,3900,1705,0,0,0,,,,,0,0.0,
37,shifted,static,7972,0.3748558246828143,0.976709241172051,0.231935771632471,0.60941951234771,0.2681056338547866,0.8180623628414336,0.9195261431483247,0.01309674693705112,0.768064228367529,0.45163352589697014,2336,31,4305,1300,0,0,0,,,,,0,0.0,31.50750000000062
37,shifted,ungoverned,7972,0.8780721966205837,0.950530035335689,0.815878679750223,0.857664730665141,0.6681333084638134,0.927609070150188,0.9651015963848643,0.10054921841994086,0.18412132024977698,0.12364627219405895,2129,238,1032,4573,10,10,0,,,,41.666666666666664,0,1.2543903662819869,266.1210000000001
37,shifted,monitor_only,7972,0.8780721966205837,0.950530035335689,0.815878679750223,0.857664730665141,0.6681333084638134,0.927609070150188,0.9651015963848643,0.10054921841994086,0.18412132024977698,0.12364627219405895,2129,238,1032,4573,10,10,0,0.8962121212121212,1.0,0.3,41.666666666666664,0,1.2543903662819869,324.1779999999999
37,shifted,governed,7972,0.3748558246828143,0.976709241172051,0.231935771632471,0.60941951234771,0.2681056338547866,0.8180623628414336,0.9195261431483247,0.01309674693705112,0.768064228367529,0.45163352589697014,2336,31,4305,1300,17,0,17,0.6629424497071555,1.0,0.0,52.333333333333336,0,2.132463622679378,393.2460000000001
