model,start,end,balanced_accuracy,error_rate
static,0,256,0.9957627118644068,0.0078125
static,256,512,0.9879032258064516,0.0234375
static,512,768,0.698069403714565,0.29296875
static,768,1024,0.6794871794871795,0.5078125
static,1024,1280,0.7057416267942583,0.48046875
static,1280,1536,0.7166666666666667,0.46484375
static,1536,1792,0.6962616822429907,0.5078125
static,1792,2048,0.7224770642201834,0.47265625
static,2048,2304,0.6853361692071369,0.515625
static,2304,2560,0.6872037914691943,0.515625
static,2560,2816,0.7123335978136296,0.4375
static,2816,3072,0.6952380952380952,0.5
static,3072,3328,0.675759534583064,0.5390625
static,3328,3584,0.6956521739130435,0.4921875
static,3584,3840,0.6683104631217839,0.51953125
static,3840,4096,0.7019607843137254,0.28125
static,4096,4352,0.9979253112033195,0.00390625
static,4352,4608,0.9562841530054644,0.0078125
static,4608,4864,0.717391304347826,0.45703125
static,4864,5120,0.6660571229536747,0.48828125
static,5120,5376,0.7110091743119267,0.4921875
static,5376,5632,0.6904761904761905,0.5078125
static,5632,5888,0.6828703703703703,0.53515625
static,5888,6144,0.6635714285714285,0.515625
static,6144,6400,0.7036199095022624,0.51171875
static,6400,6656,0.6863207547169812,0.51953125
static,6656,6912,0.7037914691943128,0.48828125
static,6912,7168,0.6808320168509742,0.51171875
static,7168,7424,0.6932367149758454,0.49609375
static,7424,7680,0.6971072036301759,0.4921875
static,7680,7936,0.7018779342723005,0.49609375
static,7936,7972,0.5935483870967742,0.5555555555555556
ungoverned,0,256,0.9957627118644068,0.0078125
ungoverned,256,512,0.9879032258064516,0.0234375
ungoverned,512,768,0.698069403714565,0.29296875
ungoverned,768,1024,0.8092948717948718,0.296875
ungoverned,1024,1280,0.8710679018629747,0.18359375
ungoverned,1280,1536,0.8904761904761904,0.1796875
ungoverned,1536,1792,0.8521361815754339,0.19921875
ungoverned,1792,2048,0.8259295026557218,0.1484375
ungoverned,2048,2304,0.8013706723384143,0.140625
ungoverned,2304,2560,0.8883096366508689,0.09765625
ungoverned,2560,2816,0.878383143789121,0.08203125
ungoverned,2816,3072,0.8712215320910973,0.0859375
ungoverned,3072,3328,0.8615384615384616,0.09375
ungoverned,3328,3584,0.8971704623878537,0.078125
ungoverned,3584,3840,0.8509862778730704,0.09765625
ungoverned,3840,4096,0.8862745098039215,0.1171875
ungoverned,4096,4352,0.9377593360995851,0.1171875
ungoverned,4352,4608,0.9296448087431695,0.05859375
ungoverned,4608,4864,0.9331558710440698,0.0703125
ungoverned,4864,5120,0.8756530825496343,0.1640625
ungoverned,5120,5376,0.8813375181071946,0.18359375
ungoverned,5376,5632,0.9531055900621118,0.03515625
ungoverned,5632,5888,0.862037037037037,0.078125
ungoverned,5888,6144,0.8407142857142857,0.078125
ungoverned,6144,6400,0.8698771816418875,0.05859375
ungoverned,6400,6656,0.883147512864494,0.07421875
ungoverned,6656,6912,0.9389678778304371,0.04296875
ungoverned,6912,7168,0.8968931016324382,0.0546875
ungoverned,7168,7424,0.9266982155180913,0.04296875
ungoverned,7424,7680,0.8983550765740216,0.0546875
ungoverned,7680,7936,0.9231903046184081,0.03515625
ungoverned,7936,7972,0.8677419354838709,0.08333333333333333
governed,0,256,0.9957627118644068,0.0078125
governed,256,512,0.9879032258064516,0.0234375
governed,512,768,0.698069403714565,0.29296875
governed,768,1024,0.7163461538461539,0.4609375
governed,1024,1280,0.715311004784689,0.46484375
governed,1280,1536,0.7238095238095238,0.453125
governed,1536,1792,0.7126168224299065,0.48046875
governed,1792,2048,0.7155963302752294,0.484375
governed,2048,2304,0.7106817913269526,0.47265625
governed,2304,2560,0.7014218009478673,0.4921875
governed,2560,2816,0.7311557788944724,0.41796875
governed,2816,3072,0.7142857142857143,0.46875
governed,3072,3328,0.6825468648998061,0.52734375
governed,3328,3584,0.7149758454106281,0.4609375
governed,3584,3840,0.6895368782161235,0.484375
governed,3840,4096,0.7107843137254902,0.2734375
governed,4096,4352,0.9896265560165975,0.01953125
governed,4352,4608,0.950136612021858,0.01953125
governed,4608,4864,0.7971014492753623,0.328125
governed,4864,5120,0.7746429815395333,0.3203125
governed,5120,5376,0.7889908256880733,0.359375
governed,5376,5632,0.7666666666666666,0.3828125
governed,5632,5888,0.775462962962963,0.37890625
governed,5888,6144,0.7685714285714286,0.3515625
governed,6144,6400,0.7669683257918551,0.40234375
governed,6400,6656,0.7645797598627788,0.375
governed,6656,6912,0.7867298578199052,0.3515625
governed,6912,7168,0.7827277514481306,0.34375
governed,7168,7424,0.7670314502612638,0.3515625
governed,7424,7680,0.813953488372093,0.3125
governed,7680,7936,0.7934272300469484,0.34375
governed,7936,7972,0.6580645161290323,0.4444444444444444
